profile_level,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
pl0,oltp_ro,2000000,4,18,0.00,10332.95,1.41,10332.95,4
pl0,oltp_ro,2000000,4,19,0.00,10579.98,1.41,10579.98,4
pl0,oltp_ro,2000000,4,20,0.00,10848.96,1.40,10848.96,4
pl0,oltp_ro,2000000,4,21,0.00,11175.15,1.16,11175.15,4
pl0,oltp_ro,2000000,4,22,0.00,11624.93,1.17,11624.93,4
pl0,oltp_ro,2000000,4,23,0.00,10425.00,1.38,10425.00,4
pl0,oltp_ro,2000000,4,24,0.00,11448.00,1.15,11448.00,4
pl0,oltp_ro,2000000,4,25,0.00,11567.02,1.09,11567.02,4
pl0,oltp_ro,2000000,4,26,0.00,11581.00,1.09,11581.00,4
pl0,oltp_ro,2000000,4,27,0.00,11669.99,1.08,11669.99,4
pl0,oltp_ro,2000000,4,28,0.00,11282.92,1.21,11282.92,4
pl0,oltp_ro,2000000,4,29,0.00,10819.03,1.42,10819.03,4
pl0,oltp_ro,2000000,3,30,0.00,10763.04,1.41,10763.04,4
pl0,oltp_ro,2000000,64,1,0.00,66009.91,5.32,66009.91,64
pl0,oltp_ro,2000000,64,2,0.00,66654.10,5.03,66654.10,64
pl0,oltp_ro,2000000,64,3,0.00,66543.95,4.92,66543.95,64
pl0,oltp_ro,2000000,64,4,0.00,67418.40,4.88,67418.40,64
pl0,oltp_ro,2000000,64,5,0.00,66875.59,4.86,66875.59,64
pl0,oltp_ro,2000000,64,6,0.00,66304.93,4.89,66304.93,64
pl0,oltp_ro,2000000,64,7,0.00,65423.33,5.04,65423.33,64
