engine,memory,filesystem,configuration,distribution,test,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,220,7747.89,21878.38,35.93,2582.76,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,230,580.71,1653.62,998.78,193.60,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,240,2369.11,6703.03,636.15,789.70,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,10,5998.51,26046.91,84.27,1998.57,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,20,10039.28,43443.33,50.42,3346.63,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,30,14166.75,61337.80,36.14,4722.78,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,40,18177.15,78715.00,23.90,6058.52,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,50,16588.30,71862.58,27.98,5529.60,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,60,18855.60,81660.40,20.06,6285.10,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,70,14135.89,61207.46,32.01,4712.40,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,80,10198.01,44173.94,39.48,3399.30,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,90,9713.79,42047.57,41.58,3237.80,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,100,10374.70,44956.51,39.57,3458.10,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,110,10781.40,46667.32,37.95,3593.90,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,120,11271.90,48806.71,36.61,3757.30,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,130,6542.10,28350.48,45.55,2180.70,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,140,10618.60,45954.42,37.96,3539.50,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,150,12132.96,52555.51,33.94,4044.09,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,160,12415.84,53793.16,33.02,4139.01,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,170,12496.71,54125.04,32.80,4165.50,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,180,12676.60,54869.49,32.29,4225.40,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,190,12142.30,52586.89,34.58,4047.40,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,200,12621.60,54677.52,32.42,4207.10,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,210,12557.20,54358.10,32.75,4185.80,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,220,12609.49,54638.48,32.43,4203.20,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,230,12484.80,54055.41,33.18,4161.30,100
wt,100,ext4,wt1,pareto,oltp,psfm,60000000,100,240,12150.30,52600.89,34.56,4050.70,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,10,4231.73,12008.71,100.70,1410.08,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,20,4986.84,14092.72,87.14,1662.41,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,30,5589.79,15801.08,79.01,1863.50,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,40,6194.41,17518.63,71.93,2064.60,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,50,6837.28,19310.34,65.69,2278.99,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,60,7503.41,21187.53,61.08,2500.80,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,70,8202.11,23199.83,55.09,2734.60,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,80,8932.90,25253.00,51.27,2977.40,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,90,9754.50,27571.09,47.86,3251.40,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,100,10662.00,30139.61,44.30,3554.30,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,110,11770.20,33257.00,40.05,3923.20,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,120,12815.19,36225.87,37.35,4271.60,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,130,2146.77,6080.92,513.89,715.79,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,140,7351.80,20764.79,40.73,2450.43,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,150,13272.80,37518.80,35.99,4424.40,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,160,13827.70,39073.91,34.43,4609.30,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,170,14224.40,40192.10,33.51,4741.40,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,180,14244.19,40276.58,32.98,4748.00,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,190,14438.60,40821.89,31.75,4813.00,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,200,14319.91,40469.43,30.92,4773.20,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,210,13727.20,38795.70,31.69,4575.70,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,220,3208.35,9077.46,573.56,1069.68,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,230,625.30,1752.40,879.73,208.20,100
wt,100,ext4,wt1,uniform,oltp,psfm,60000000,100,240,7496.41,21193.10,40.45,2499.04,100
wt,100,ext4,wt2,pareto,oltp,psfm,60000000,100,10,5990.31,26010.89,84.04,1996.37,100
wt,100,ext4,wt2,pareto,oltp,psfm,60000000,100,20,10016.48,43349.56,50.61,3338.73,100
wt,100,ext4,wt2,pareto,oltp,psfm,60000000,100,30,14120.72,61129.57,36.60,4706.97,100
wt,100,ext4,wt2,pareto,oltp,psfm,60000000,100,40,18232.28,78967.86,24.65,6077.43,100
wt,100,ext4,wt2,pareto,oltp,psfm,60000000,100,50,16901.29,73201.94,27.61,5633.50,100
wt,100,ext4,wt2,pareto,oltp,psfm,60000000,100,60,18632.51,80697.34,20.92,6210.90,100
wt,100,ext4,wt2,pareto,oltp,psfm,60000000,100,70,14199.91,61493.05,32.06,4733.60,100
wt,100,ext4,wt2,pareto,oltp,psfm,60000000,100,80,10226.30,44287.00,39.41,3408.80,100
wt,100,ext4,wt2,pareto,oltp,psfm,60000000,100,90,9863.10,42701.68,40.95,3287.40,100
