tot_inserts	elap_secs	cum_ips	int_ips
341419000	8050	42411.91	46358.93
341884000	8060	42416.88	46411.82
342314000	8070	42418.00	43329.30
342770000	8080	42421.87	45540.80
343213000	8090	42424.12	44238.07
343671000	8100	42427.99	45544.95
344096000	8110	42428.49	42834.11
344308000	8120	42402.26	21164.02
344486000	8130	42371.69	17693.84
344659000	8140	42341.30	17437.76
345024000	8150	42333.94	36365.45
345190000	8160	42302.33	16578.45
345323000	8170	42266.76	13281.41
345406000	8180	42225.16	8286.74
345694000	8190	42209.16	29020.56
345953000	8200	42189.18	25856.04
346405000	8210	42192.65	45028.89
346861000	8220	42197.13	45898.34
