elap_secs	cum_tps	int_tps	cum_ips	int_ips
6290	35.84	36.06	0.00	0.00
6300	35.84	40.36	0.00	0.00
6310	35.84	32.46	0.00	0.00
6320	35.83	32.26	0.00	0.00
6330	35.83	34.84	0.00	0.00
6340	35.83	35.26	0.00	0.00
6350	35.83	35.46	0.00	0.00
6360	35.83	37.86	0.00	0.00
6370	35.83	36.65	0.00	0.00
6380	35.83	33.29	0.00	0.00
6390	35.82	32.56	0.00	0.00
6400	35.83	39.22	0.00	0.00
6410	35.83	37.55	0.00	0.00
6420	35.83	36.44	0.00	0.00
6430	35.83	32.06	0.00	0.00
6440	35.82	33.69	0.00	0.00
6450	35.82	35.25	0.00	0.00
6460	35.82	35.75	0.00	0.00
6470	35.82	33.85	0.00	0.00
6480	35.83	40.85	0.00	0.00
6490	35.83	34.26	0.00	0.00
6500	35.82	35.16	0.00	0.00
6510	35.83	36.66	0.00	0.00
6520	35.82	33.30	0.00	0.00
6530	35.82	37.85	0.00	0.00
6540	35.83	35.95	0.00	0.00
6550	35.82	34.06	0.00	0.00
6560	35.82	35.85	0.00	0.00
6570	35.82	36.85	0.00	0.00
6580	35.82	32.85	0.00	0.00
6590	35.82	34.75	0.00	0.00
6600	35.82	36.72	0.00	0.00
6610	35.82	36.33	0.00	0.00
6620	35.82	36.35	0.00	0.00
6630	35.82	33.35	0.00	0.00
6640	35.81	33.06	0.00	0.00
6650	35.81	36.65	0.00	0.00
6660	35.81	35.24	0.00	0.00
6670	35.81	36.82	0.00	0.00
6680	35.81	34.43	0.00	0.00
6690	35.81	35.74	0.00	0.00
6700	35.81	34.05	0.00	0.00
6710	35.81	39.04	0.00	0.00
6720	35.81	33.56	0.00	0.00
6730	35.81	37.10	0.00	0.00
6740	35.81	32.96	0.00	0.00
6750	35.81	37.55	0.00	0.00
6760	35.81	31.85	0.00	0.00
6770	35.80	31.85	0.00	0.00
6780	35.80	38.85	0.00	0.00
6790	35.80	34.74	0.00	0.00
6800	35.81	38.12	0.00	0.00
6810	35.80	31.94	0.00	0.00
6820	35.80	36.64	0.00	0.00
6830	35.80	34.56	0.00	0.00
6840	35.81	40.05	0.00	0.00
6850	35.80	32.66	0.00	0.00
6860	35.80	37.72	0.00	0.00
6870	35.80	30.16	0.00	0.00
6880	35.80	38.34	0.00	0.00
6890	35.80	33.35	0.00	0.00
6900	35.80	38.05	0.00	0.00
6910	35.79	32.06	0.00	0.00
6920	35.80	37.65	0.00	0.00
6930	35.79	33.76	0.00	0.00
6940	35.80	39.85	0.00	0.00
6950	35.80	33.15	0.00	0.00
6960	35.80	35.64	0.00	0.00
6970	35.79	33.15	0.00	0.00
6980	35.79	37.45	0.00	0.00
6990	35.80	37.45	0.00	0.00
7000	35.79	33.36	0.00	0.00
7010	35.79	36.01	0.00	0.00
7020	35.80	37.74	0.00	0.00
7030	35.79	29.35	0.00	0.00
7040	35.79	36.63	0.00	0.00
7050	35.79	36.02	0.00	0.00
7060	35.79	34.25	0.00	0.00
7070	35.79	34.99	0.00	0.00
7080	35.79	39.45	0.00	0.00
7090	35.78	30.94	0.00	0.00
7100	35.79	38.85	0.00	0.00
7110	35.78	31.86	0.00	0.00
7120	35.78	34.94	0.00	0.00
7130	35.79	41.26	0.00	0.00
7140	35.78	30.66	0.00	0.00
7150	35.79	38.75	0.00	0.00
7160	35.78	31.35	0.00	0.00
7170	35.78	37.35	0.00	0.00
7180	35.78	36.34	0.00	0.00
7190	35.78	33.56	0.00	0.00
7200	35.78	37.36	0.00	0.00
7210	35.78	33.58	0.00	0.00
7220	35.78	37.35	0.00	0.00
7230	35.78	37.26	0.00	0.00
7240	35.78	33.25	0.00	0.00
7250	35.78	36.54	0.00	0.00
7260	35.78	37.05	0.00	0.00
7270	35.78	33.76	0.00	0.00
7280	35.78	37.22	0.00	0.00
7290	35.78	34.76	0.00	0.00
7300	35.78	33.76	0.00	0.00
7310	35.77	33.65	0.00	0.00
7320	35.78	37.24	0.00	0.00
7330	35.78	35.34	0.00	0.00
7340	35.78	37.69	0.00	0.00
